record_id,doi,title,year,openalex_id,query_ids,openalex_work_type,known_anchor,live_concept_filter_drift,missing_live_concepts,title_floral,title_pollinator,title_antagonist,abstract_floral,abstract_pollinator,abstract_antagonist,title_floral_matches,title_pollinator_matches,title_antagonist_matches,abstract_floral_matches,abstract_pollinator_matches,abstract_antagonist_matches,machine_priority,machine_note,formal_title_abstract_decision,formal_title_abstract_reason
SCHPRISMA-000111,10.1038/srep37087,Bumble bee parasite strains vary in resistance to phytochemicals,2016,https://openalex.org/W2549151811,Q01;Q05,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,parasite,floral;flowers,pollinator;pollinators,parasite;parasites;parasitic,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000112,10.1111/eea.13201,Bumblebee attraction toMatthiola lividaflowers is altered by combined water stress and insect herbivory,2022,https://openalex.org/W4282594901,Q05,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,herbivory,floral,pollinator;pollinators,herbivore;herbivory,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000113,10.13001/uwnpsrc.2004.3583,Bumblebee Preadators Reduce Pollinator Density and Plant Fitness,2004,https://openalex.org/W27973841,Q12,article,NO,NO,,NO,YES,NO,YES,YES,YES,,pollinator,,flower;flowers,pollinated;pollination;pollinator;pollinators,herbivores,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000114,10.1242/jeb.097543,Bumblebees are not deterred by ecologically relevant concentrations of nectar toxins,2014,https://openalex.org/W2114372149,Q13,article,NO,NO,,NO,NO,NO,YES,YES,YES,,,,floral;flowers,pollinated;pollination;pollinator;pollinators,herbivore,ABSTRACT_ONLY,All registered concepts are recovered only after abstract information is considered.,,
SCHPRISMA-000115,10.1098/rspb.2018.0661,"Bumblebees distinguish floral scent patterns, and can transfer these to corresponding visual patterns",2018,https://openalex.org/W2807759202,Q01;Q05;Q07;Q08,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral;flowers,pollinators,exploit,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000116,10.1086/716637,Can Conflicting Selection from Pollinators and Nectar-Robbing Antagonists Drive Adaptive Pollen Limitation? A Conceptual Model and Empirical Test,2021,https://openalex.org/W3185522226,Q13,article,NO,NO,,NO,YES,YES,YES,YES,YES,,pollinators,antagonists,floral;flower,pollination;pollinator;pollinators,antagonist;antagonists;nectar robbers;nectar robbery,HIGH_TITLE_PAIR,Two registered concepts occur in the title; inspect abstract/context.,,
SCHPRISMA-000117,10.1086/705583,Can Sexual Selection Cause Divergence in Mating System–Related Floral Traits?,2019,https://openalex.org/W2979753487,Q10,article,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral,pollination,antagonistic,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000118,10.1101/513481,Can Sexual Selection Cause Divergence in Mating System-Related Floral Traits?,2019,https://openalex.org/W2907774012,Q10,preprint,NO,NO,,YES,NO,NO,YES,YES,YES,floral,,,floral,pollination,antagonistic,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000119,10.23860/thesis-tucker-sara-2018,CARPENTER BEE NECTAR ROBBERY EFFECTS ON FRUIT QUALITY AND NESTING PROVISIONS IN RHODE ISLAND,2018,https://openalex.org/W2908914472,Q04,dissertation,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbery,flower;flowers,pollination;pollinator,nectar robbery,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
SCHPRISMA-000120,10.26786/1920-7603(2021)620,Catching the thief: Nectar robbing behaviour by bumblebees on naturalised Fuchsia magellanica in Ireland,2021,https://openalex.org/W3207676228,Q13,article,NO,NO,,NO,NO,YES,YES,YES,YES,,,nectar robbing,floral;flower;flowers,pollinated;pollination;pollinator,nectar robbed;nectar robbing,MEDIUM_TITLE_ONE,One registered concept occurs in the title; other concepts are abstract-supported.,,
